Date,PinbarTypes,Open,High,Low,Close,PinbarLevel,MatchingLags,MatchingDates,MatchingPriorLows
2015-07-02,single,1168.35,1169.51,1155.98,1165.63,1164.34154,19,2015-06-05,1162.6300
2016-03-24,current+next,1222.61,1223.71,1208.15,1221.34,1217.76608,19,2016-02-26,1211.3900
2016-03-28,previous+current,1222.61,1223.71,1208.15,1221.34,1217.76608,20,2016-02-26,1211.3900
2018-02-28,current+next,1318.39,1322.49,1302.76,1317.16,1314.95314,39,2018-01-04,1305.7000
2021-01-11,single,1854.74,1855.59,1817.0,1844.45,1840.84862,18,2020-12-14,1818.3400
2021-06-14,single,1876.07,1877.62,1844.77,1866.31,1865.0712999999998,18,2021-05-19,1852.2300
