Date,PatternTypes,Open,High,Low,Close,ReversePinbarLevel,MatchingLags,MatchingDates,MatchingPriorHighs
2016-06-15,current+next,1284.83,1315.54,1277.97,1278.75,1292.32174,32,2016-05-02,1303.6500
2016-06-16,previous+current,1284.83,1315.54,1277.97,1278.75,1292.32174,33,2016-05-02,1303.6500
2021-12-27,current+next,1805.97,1820.18,1802.92,1806.13,1809.51332,20,2021-11-26,1815.5500
2021-12-28,previous+current,1805.97,1820.18,1802.92,1806.13,1809.51332,21,2021-11-26,1815.5500
